ticker,present_period,win_made,lost_made,giveup_made,win_percentage,profit,capital
['MRK;'],1y,2,1,0,0.6666666666666666,47.78563581194177,1000
['MRK;'],5y,10,6,1,0.5882352941176471,161.55059776306135,1000
['MRK;'],10y,19,17,4,0.475,47.21900662013398,1000
['MRK;'],20y,36,27,9,0.5,357.2649254526407,1000
['CSCO;'],1y,1,3,0,0.25,-67.52858516148152,1000
['CSCO;'],5y,6,7,1,0.42857142857142855,-48.60694345746728,1000
['CSCO;'],10y,17,17,1,0.4857142857142857,8.273180225917095,1000
['CSCO;'],20y,37,28,4,0.5362318840579711,528.5318492889407,1000
['SHEL;'],1y,2,2,0,0.5,36.73741095406673,1000
['SHEL;'],5y,7,13,0,0.35,-250.4655590057369,1000
['SHEL;'],10y,17,21,0,0.4473684210526316,-224.6723270416257,1000
['SHEL;'],20y,32,45,1,0.41025641025641024,-617.0083617074145,1000
['DIS;B'],1y,0,2,0,0,-76.83006940569194,1000
['DIS;B'],5y,5,6,3,0.35714285714285715,-65.95611141749771,1000
['DIS;B'],10y,20,13,4,0.5405405405405406,167.76556576320178,1000
['DIS;B'],20y,43,27,8,0.5512820512820513,491.3815497943342,1000
['ABT;'],1y,2,2,0,0.5,1.7071304321289915,1000
['ABT;'],5y,9,10,2,0.42857142857142855,-45.2102415902272,1000
['ABT;'],10y,22,16,3,0.5365853658536586,135.95666980743422,1000
['ABT;'],20y,34,34,7,0.4533333333333333,-1.2205914633614015,1000
['AZN;'],1y,2,2,0,0.5,-21.33994293212904,1000
['AZN;'],5y,8,11,1,0.4,-156.10474422999812,1000
['AZN;'],10y,21,22,3,0.45652173913043476,-216.50659078870535,1000
['AZN;'],20y,39,41,5,0.4588235294117647,-167.3400916780746,1000
['ADBE;'],1y,2,1,0,0.6666666666666666,25.7314453125,1000
['ADBE;'],5y,7,10,2,0.3684210526315789,-103.97635628836503,1000
['ADBE;'],10y,20,21,3,0.45454545454545453,-8.620962524413926,1000
['ADBE;'],20y,38,37,5,0.475,177.39456400190107,1000
['VZ;'],1y,0,2,0,0,-66.31714521135606,1000
['VZ;'],5y,7,8,1,0.4375,-50.68731122698083,1000
['VZ;'],10y,11,19,3,0.3333333333333333,-233.77457842145623,1000
['VZ;'],20y,26,29,6,0.4262295081967213,16.147670309884532,1000
['ACN;'],1y,0,4,0,0,-115.96714128766735,1000
['ACN;'],5y,8,13,1,0.36363636363636365,-75.1797084263396,1000
['ACN;'],10y,17,26,3,0.3695652173913043,-197.3176997593475,1000
['ACN;'],20y,43,38,4,0.5058823529411764,369.9123093196316,1000
['MCD;'],1y,0,2,1,0,-38.37116786411829,1000
['MCD;'],5y,10,4,3,0.5882352941176471,134.83985355922164,1000
['MCD;'],10y,20,11,4,0.5714285714285714,186.6077156066895,1000
['MCD;'],20y,42,20,6,0.6176470588235294,738.0841176169258,1000
['NOVN;'],1y,0,0,0,0,0,1000
['NOVN;'],5y,1,3,5,0.1111111111111111,-777.9375928742547,1000
['NOVN;'],10y,3,4,5,0.25,-574.8089700017658,1000
['NOVN;'],20y,3,4,5,0.25,-574.8089700017658,1000
['CMCSA;'],1y,0,0,0,0,0,1000
['CMCSA;'],5y,5,6,3,0.35714285714285715,19.081268474033806,1000
['CMCSA;'],10y,20,13,4,0.5405405405405406,274.8501305171423,1000
['CMCSA;'],20y,35,26,7,0.5147058823529411,419.81350857189756,1000
['INTC;'],1y,0,2,0,0,-116.9428569248744,1000
['INTC;'],5y,8,13,0,0.38095238095238093,-190.3058259146551,1000
['INTC;'],10y,21,19,2,0.5,-13.191053826468163,1000
['INTC;'],20y,45,32,2,0.569620253164557,537.1634443555564,1000
['WFC;'],1y,1,3,0,0.25,-86.94714355468753,1000
['WFC;'],5y,8,7,1,0.5,57.08660899571013,1000
['WFC;'],10y,17,16,1,0.5,25.716545213971962,1000
['WFC;'],20y,34,21,7,0.5483870967741935,494.03004614966306,1000
['CRM;'],1y,2,1,0,0.6666666666666666,27.50425938197543,1000
['CRM;'],5y,7,11,3,0.3333333333333333,-14.461850193568552,1000
['CRM;'],10y,17,21,3,0.4146341463414634,-7.360326385497814,1000
['CRM;'],20y,34,37,5,0.4473684210526316,-53.19703038419982,1000
['MC;'],1y,2,1,0,0.6666666666666666,38.241414751325294,1000
['MC;'],5y,8,10,0,0.4444444444444444,-193.82315635681144,1000
['MC;'],10y,13,14,1,0.4642857142857143,-73.27875341687837,1000
['MC;'],20y,13,14,1,0.4642857142857143,-73.27875341687837,1000
['BHP;'],1y,1,3,0,0.25,-66.79848970685677,1000
['BHP;'],5y,12,12,1,0.48,9.781440162658875,1000
['BHP;'],10y,17,24,3,0.38636363636363635,-233.1916549410134,1000
['BHP;'],20y,41,44,4,0.4606741573033708,58.038409669059234,1000
['BMY;'],1y,2,0,0,1.0,67.24424525669647,1000
['BMY;'],5y,10,6,2,0.5555555555555556,83.1318948745727,1000
['BMY;'],10y,22,17,4,0.5116279069767442,60.8253462382722,1000
['BMY;'],20y,34,32,9,0.4533333333333333,69.36291240964583,1000
['QCOM;'],1y,2,0,0,1.0,103.97427150181349,1000
['QCOM;'],5y,9,8,2,0.47368421052631576,91.12240573338082,1000
['QCOM;'],10y,15,16,4,0.42857142857142855,12.808068793160231,1000
['QCOM;'],20y,32,31,9,0.4444444444444444,167.58661678859113,1000
['LIN;'],1y,2,3,0,0.4,7.550040108817029,1000
