BAS;
6501;
4568;
HPQ;
EXC;
7267;
KMB;
PSX;
ABNB;
7974;
MELI;
NUE;
SNPS;
8058;
ADSK;
ILMN;
D05;
WMB;
AZO;
ECL;
SYY;
PRX;
TEL;
CTSH;
APH;
CDNS;
TRV;
DVN;
PAYX;
LONN;
CTVA;
WBD;
388;
LULU;
IQV;
PRU;
GIS;
ORLY;
SIKA;
VOD;
STZ;
DPW;
RI;
HLT;
SPG;
UBER;
DLR;
6367;
ABX;
LLOY;
FTNT;
8316;
8031;
CMG;
XEL;
GPN;
JCI;
TWTR;
KR;
WDAY;
ALL;
KMI;
WES;
DXCM;
SNOW;
8001;
BN;
MCHP;
ADS;
MFC;
SBAC;
A;
7741;
AFL;
INGA;
CPG;
9432;
CRWD;
O;
KER;
WELL;
IFX;
PH;
DLTR;
ROST;
MSI;
RMS;
CTAS;
BAX;
BK;
ATD;
ALC;
DFS;
ENI;
DD;
LNG;
SAF;
9434;
MSCI;
EBAY;
3382;
EA;
GIVN;
AJG;
PEG;
YUM;
IDXX;
MNST;
6981;
EQNR;
WOW;
HAL;
WCN;
TT;
ISP;
BBVA;
DB1;
WBA;
DSV;
ED;
FAST;
PPG;
MUV2;
HSY;
INVE B;
CARR;
NDA SE;
PRU;
AMP;
CAP;
WEC;
JPY;
ADYEN;
TCL;
SNAP;
TDG;
WY;
IFF;
BARC;
MTB;
MTD;
SIVB;
AD;
EUR;
8766;
HES;
OTIS;
BIIB;
EXPN;
AVB;
CRG;
TROW;
CSU;
ES;
LYB;
PCAR;
OKE;
BA.;
LSEG;
GLW;
KKR;
O39;
RMD;
8411;
CMI;
SLF;
APTV;
RSG;
KHC;
ATCO A;
VICI;
VRSK;
RIO;
FNV;
4503;
AME;
SGO;
6594;
SE;
DSY;
VOW3;
EQR;
CBRE;
DSM;
ODFL;
WTW;
NOKIA;
STLA;
AMS;
AWK;
FRC;
BLL;
BMW;
WKL;
RWE;
TSN;
BKR;
FITB;
6702;
UOB;
EIX;
STM;
ANET;
AEM;
TTD;
FERG;
KEYS;
VNA;
4661;
ARE;
6954;
6273;
HOLN;
TSCO;
KDP;
STT;
CVE;
6902;
EXR;
DDOG;
ZBH;
TEF;
VEEV;
EFX;
DHI;
ROK;
CTRA;
HEIA;
CSGP;
HIG;
ALB;
ON;
RACE;
